,cand_id,country,endMonth,endYear,name,startMonth,startYear
2,3383.0,,Present,1990,b'University of Waterloo',,1985.0
0,3384.0,,Present,Present,b'University of Alberta',,
1,3384.0,,Present,Present,b'Tsinghua University',,
2,3384.0,,Present,Present,b'University of Alberta',,
3,3384.0,,Present,Present,"b'Institute of Computing Technology, Chinese Academy of Sciene.'",,
4,3384.0,,Present,Present,b'Tsinghua University',,
0,3385.0,,Present,Present,b'University of Waterloo',,
1,3385.0,,Present,2008,b'University of Waterloo',,2004.0
2,3385.0,,Present,2004,b'Agincourt CI',,2000.0
3,3385.0,,Present,2010,b'University of Waterloo',,2009.0
0,3389.0,,Present,Present,b'Simon Fraser University',,
1,3389.0,,Present,Present,b'Simon Fraser University',,
2,3389.0,,Present,Present,b'Simon Fraser University',,
0,3390.0,,Present,Present,b'University of Waterloo',,
1,3390.0,,Present,Present,b'University of Toronto',,
2,3390.0,,Present,2005,b'University of Waterloo',,2000.0
3,3390.0,,Present,2016,b'University of Toronto',,2014.0
0,3391.0,,Present,Present,b'McGill University',,
1,3391.0,,Present,Present,b'Marianopolis College',,
2,3391.0,,Present,Present,b'McGill University',,
3,3391.0,,Present,Present,b'Marianopolis College',,
0,3397.0,,Present,Present,b'University of Portsmouth',,
1,3397.0,,Present,2006,b'APTECH',,2003.0
2,3397.0,,Present,2013,b'University of Portsmouth',,2012.0
0,3401.0,,Present,Present,b'Western University',,
1,3401.0,,Present,Present,b'McGill University',,
2,3401.0,,Present,1991,b'Western University',,1988.0
3,3401.0,,Present,1993,b'McGill University',,1992.0
0,3403.0,,Present,Present,b'University of Virginia',,
1,3403.0,,Present,2005,b'University of Virginia',,2001.0
0,3406.0,,Present,Present,b'Universidade Federal de Pernambuco',,
1,3406.0,,Present,Present,b'Universidade Cat\xc3\x83\xc2\xb3lica de Pernambuco',,
2,3406.0,,Present,2009,b'Universidade Federal de Pernambuco',,2008.0
3,3406.0,,Present,2004,b'Universidade Cat\xc3\x83\xc2\xb3lica de Pernambuco',,2000.0
0,3407.0,,Present,Present,b'Universit\xc3\x83\xc2\xa9 de Sherbrooke',,
1,3407.0,,Present,1995,b'Universit\xc3\x83\xc2\xa9 de Sherbrooke',,1992.0
0,3408.0,,Present,Present,b'University of Mauritius',,
1,3408.0,,Present,2006,b'University of Mauritius',,2002.0
0,3411.0,,Present,Present,b'S.P. Jain Institute of Management & Research',,
1,3411.0,,Present,2005,b'S.G.S.I.T.S. India',,2001.0
2,3411.0,,Present,2008,b'S.P. Jain Institute of Management & Research',,2006.0
0,3414.0,,Present,Present,b'Moscow Institute of Electronics and Mathematics (Technical University)',,
1,3414.0,,Present,1994,b'Moscow State Institute of Electronics and Mathematics (Technical University)',,1989.0
0,3415.0,,Present,Present,b'University of California San Diego',,
1,3415.0,,Present,Present,b'De Anza College',,
2,3415.0,,Present,2004,b'UCSD',,2002.0
3,3415.0,,Present,2002,b'De Anza College',,2000.0
0,3417.0,,Present,Present,b'University of Oxford',,
1,3417.0,,Present,Present,b'University of Warwick',,
2,3417.0,,Present,1990,b'University of Warwick',,1987.0
3,3417.0,,Present,2005,b'University of Oxford',,2002.0
4,3417.0,,Present,1987,b'Watford Grammar School For Boys',,1985.0
0,3419.0,,Present,Present,b'Universidade Federal de Pernambuco',,
1,3419.0,,Present,2005,b'Universidade Federal de Pernambuco',,1998.0
0,3421.0,,Present,Present,b'University of Toronto',,
1,3421.0,,Present,2001,b'University of Toronto',,1999.0
0,3422.0,,Present,1995,"b'University ""GH ASACHI"" IASI'",,1990.0
0,3428.0,,Present,2004,b'Ufa State Aviation Technical University',,1998.0
1,3428.0,,Present,1998,b'Ufa State Aviation Technical University',,1993.0
0,3434.0,,Present,Present,b'The Art Institutes',,
1,3434.0,,Present,2010,b'The Art Institutes',,2006.0
0,3436.0,,Present,Present,b'York University',,
1,3436.0,,Present,Present,"b'Universidad La Salle, A.C.'",,
2,3436.0,,Present,Present,b'Western University',,
3,3436.0,,Present,2003,"b'Universidad La Salle, A.C.'",,1998.0
4,3436.0,,Present,2003,b'Western University',,2002.0
5,3436.0,,Present,2014,b'York University',,2012.0
0,3445.0,,Present,Present,b'University of Toronto - New College',,
1,3445.0,,Present,2005,b'University of Toronto - New College',,2000.0
0,3446.0,,Present,2006,b'Art Institute of Vancouver',,2005.0
0,3454.0,,Present,Present,b'British Columbia Institute of Technology',,
1,3454.0,,Present,2005,b'British Columbia Institute of Technology / BCIT',,2003.0
0,3455.0,,Present,Present,b'Florida Atlantic University',,
1,3455.0,,Present,1998,b'Florida Atlantic University',,1996.0
2,3455.0,,Present,2006,b'Florida Atlantic University',,2002.0
3,3455.0,,Present,2011,b'Florida Atlantic University',,2008.0
0,3456.0,,Present,Present,b'University of Reading',,
1,3456.0,,Present,2001,b'The University of Reading',,1998.0
0,3457.0,,Present,2005,b'Vinnitsa National Technical University',,2003.0
1,3457.0,,Present,2003,b'Vinnitsa National Technical University',,1998.0
0,3461.0,,Present,Present,b'University of San Buenaventura - Colombia',,
1,3461.0,,Present,Present,b'Polytechnic University of Madrid - Spain',,
2,3461.0,,Present,Present,b'University of San Buenaventura - Colombia',,
0,3464.0,,Present,Present,"b""Ha'Universita Ha'Petuha""",,
1,3464.0,,Present,2007,"b""Ha'Universita Ha'Petuha""",,2001.0
0,3466.0,,Present,Present,b'The University of British Columbia',,
1,3466.0,,Present,2013,b'\xc3\x83\xc2\x89cole Polytechnique F\xc3\x83\xc2\xa9d\xc3\x83\xc2\xa9rale de Lausanne',,2013.0
2,3466.0,,Present,2013,b'\xc3\x83\xc2\x89cole Polytechnique F\xc3\x83\xc2\xa9d\xc3\x83\xc2\xa9rale de Lausanne',,2013.0
3,3466.0,,Present,2011,b'The University of British Columbia / UBC',,2007.0
0,3467.0,,Present,Present,b'Simon Fraser University',,
1,3467.0,,Present,Present,b'Beijing University of Posts and Telecommunications',,
2,3467.0,,Present,2011,b'Simon Fraser University',,2009.0
3,3467.0,,Present,2006,b'Beijing University of Post and Telecommunications',,2002.0
4,3467.0,,Present,2009,b'Beijing University of Post and Telecommunications',,2006.0
0,3468.0,,Present,Present,b'Peking University',,
