,cand_id,country,endMonth,endYear,locationName,name,startMonth,startYear
3,667.0,US,Present,Present,"Blue Ridge, Georgia",Treo Blue Ridge,2.0,2017.0
4,667.0,US,3,2014,Greater Atlanta Area,Bank of America,4.0,2012.0
0,668.0,GB,1,2015,,Newton Europe Limited,4.0,2013.0
1,668.0,BT,Present,Present,,BT,9.0,2015.0
2,668.0,GB,8,2015,,Newton Europe Limited,1.0,2015.0
0,669.0,US,Present,Present,"Seattle, WA","Expedia, Inc.",9.0,2016.0
1,669.0,US,5,2015,"Bellevue, WA",Expedia,12.0,2012.0
2,669.0,US,12,2012,Bellevue/Seattle,Pariveda Solutions,5.0,2011.0
3,669.0,US,9,2016,"Bellevue, WA","Expedia, Inc.",5.0,2015.0
4,669.0,US,5,2011,,GuestWare,11.0,2005.0
0,670.0,US,9,2014,,Informatica,3.0,2012.0
1,670.0,US,3,2012,,Yahoo!,,2008.0
2,670.0,US,Present,2005,,PTC,,2001.0
3,670.0,NL,Present,2008,,Human Inference,,2005.0
4,670.0,US,Present,Present,,Informatica,11.0,2014.0
0,671.0,US,11,2016,West Hollywood,Eclectic Pictures,10.0,2014.0
1,671.0,US,Present,Present,Greater Los Angeles Area,Nu Image - Millennium Films,11.0,2016.0
2,671.0,US,9,2013,"Santa Monica, CA",Pearlstreet Films,2.0,2013.0
3,671.0,US,12,2012,"Burbank, CA",Weed Road Pictures,8.0,2012.0
4,671.0,US,11,2013,"Universal City, CA",Universal Pictures,9.0,2013.0
0,672.0,US,5,2010,NJ,Merck,2.0,2009.0
1,672.0,US,4,2016,Greater New York City Area,Citigroup,8.0,2015.0
2,672.0,US,2,2012,NYC,Citigroup Global Markets,5.0,2010.0
3,672.0,US,Present,Present,PA,"Integraph Productions, LLC.",10.0,1996.0
4,672.0,US,7,2015,CT,Knights of Columbus,2.0,2012.0
0,673.0,US,Present,Present,"Seattle, WA",Oculus VR,7.0,2014.0
1,673.0,US,6,2014,"Kirkland, WA",343 Industries | Microsoft,12.0,2010.0
2,673.0,US,Present,Present,"Seattle, WA",Oculus VR,9.0,2015.0
3,673.0,US,12,2010,"Middleton, WI",Raven Software,7.0,2003.0
0,674.0,SG,Present,2016,Singapore,Schneider Electric,,2015.0
1,674.0,SG,Present,2005,,National University Hospital/ Lux Asia,,2001.0
2,674.0,,Present,2015,"Suntec city, singapore",LIXIL Group,,2014.0
3,674.0,US,Present,2014,,Kohler Co.,,2005.0
4,674.0,SG,Present,Present,,SPCA Singapore,,
5,674.0,US,Present,Present,,Voices For Animals,,
0,676.0,US,Present,Present,San Francisco Bay Area,Impax Laboratories,3.0,2015.0
1,676.0,US,Present,Present,San Francisco Bay Area,Impax Laboratories,11.0,2015.0
2,676.0,US,Present,Present,San Francisco Bay Area,Impax Laboratories,11.0,2012.0
3,676.0,US,9,2012,"Napa, CA",Mylan Specialty,1.0,2011.0
4,676.0,US,Present,2011,"Morgantown, WV",Mylan Pharmaceuticals Inc,,2009.0
5,676.0,US,Present,Present,,City of Hayward,9.0,2014.0
0,678.0,US,Present,Present,"Hayward, CA",Rabid Brains Studios,1.0,2012.0
1,678.0,US,1,2011,"Newark, California",JCPenney,6.0,2008.0
2,678.0,US,Present,Present,"Oakland, CA",St George Warehouse,3.0,2012.0
3,678.0,US,7,2007,"Juneau, Alaska",Alaska Travel Adventures,5.0,2007.0
0,679.0,ES,10,2013,"Barcelona Area, Spain",Yahoo!,6.0,2013.0
1,679.0,ES,4,2015,Barcelona,Yahoo,10.0,2013.0
2,679.0,GB,Present,Present,"Cambridge, United Kingdom",Bell Labs,9.0,2016.0
3,679.0,FR,6,2013,,EURECOM,2.0,2010.0
4,679.0,US,8,2016,,Yahoo,4.0,2015.0
5,679.0,ES,11,2013,,Bancs dels Aliments,11.0,2013.0
0,680.0,IN,Present,Present,,TEXTRON India pvt ltd,12.0,2010.0
1,680.0,IN,12,2010,,BCS Innovations,12.0,2009.0
0,681.0,US,1,2017,San Francisco Bay Area,Twitter,8.0,2015.0
