,cand_id,country,endMonth,endYear,locationName,name,startMonth,startYear
1,860.0,,11,2014,Cupertino - California,Zend Technologies,9.0,2012.0
2,860.0,,2,2016,Palo Alto California,VMware,11.0,2014.0
3,860.0,,Present,Present,San Mateo,Marketo,2.0,2016.0
4,860.0,,9,2012,Israel - Ramat Gan,Zend Technologies,9.0,2007.0
0,861.0,,Present,Present,"USDA/Forest Service, Denver CO",SNAP Inc,12.0,2006.0
0,862.0,,7,2015,,Cenegenics Medical Institute (USA),5.0,2015.0
1,862.0,,2,2017,San Francisco,Zenefits,2.0,2016.0
2,862.0,,12,2015,San Francisco,Zenefits,7.0,2015.0
3,862.0,,2,2016,San Francisco,Zenefits,12.0,2015.0
4,862.0,,Present,Present,,Zenefits,2.0,2017.0
0,863.0,,6,2014,"Campbell, CA",Panzura,5.0,2013.0
1,863.0,,3,2013,San Francisco Bay Area,One Step Beyond Consulting,3.0,2012.0
2,863.0,,Present,Present,"Los Altos, California","Didja, Inc.",6.0,2014.0
3,863.0,,12,2011,"Mountain View, CA",Beyond Oblivion Inc.,11.0,2010.0
4,863.0,,3,2010,San Francisco Bay Area,Kakai Inc.,11.0,2009.0
0,864.0,,6,2014,"London, United Kingdom",Energize Recruitment Solutions,4.0,2013.0
1,864.0,,Present,Present,Borehamwood/London,JUST EAT,7.0,2014.0
2,864.0,,11,2012,"Manchester, United Kingdom",Signum,7.0,2011.0
3,864.0,,4,2013,"Manchester, United Kingdom",Randstad CPE,11.0,2012.0
0,866.0,,3,2012,,Baxter International Inc.,11.0,2008.0
1,866.0,,Present,Present,,Baxter International Inc.,3.0,2012.0
0,867.0,,11,2009,"darien, il",Wight & Company,5.0,2008.0
1,867.0,,Present,2010,"chicago, illinois",Proposal Consultant,,2009.0
2,867.0,,Present,Present,"naperville, il","Office Depot, Inc. (formerly OfficeMax)",,2010.0
3,867.0,,Present,2004,"Bolingbrook, IL",The Shaw Group,,2000.0
4,867.0,,Present,2008,"Lisle, IL",Patrick Engineering,,2005.0
0,868.0,,3,2015,,Apple,7.0,2008.0
1,868.0,,Present,Present,,Apple,3.0,2015.0
2,868.0,,7,2008,,Apple Inc.,11.0,2006.0
0,870.0,,Present,Present,Greater Denver Area,Indaba Group LLC,8.0,2013.0
1,870.0,,7,2013,"Denver, CO",Purple Crayons Interactive,12.0,2012.0
2,870.0,,Present,Present,Greater Denver Area,Vedana Ent,1.0,2009.0
3,870.0,,12,2012,"Lincoln, Nebraska Area",Fiserv,5.0,2008.0
4,870.0,,6,2010,,United States Army Reserve,6.0,2006.0
0,871.0,,3,2016,"Santa Clara, California",Marvell Semiconductor,9.0,2013.0
1,871.0,,5,2008,Bangalore,Infosys Technology Ltd,6.0,2007.0
2,871.0,,8,2012,Bangalore,Cypress Semiconductor,1.0,2010.0
3,871.0,,12,2009,Bangalore,Cypress Semiconductor,6.0,2008.0
4,871.0,,Present,Present,"Santa Clara, California",Marvell Semiconductor,4.0,2016.0
0,872.0,,Present,Present,,Salem Health,,
0,873.0,,3,2014,Irvine,Edwards Lifesciences,9.0,2011.0
1,873.0,,10,2005,Costa Mesa,cWorks,1.0,2002.0
2,873.0,,11,2001,Irvine,Toshiba,7.0,1997.0
3,873.0,,9,2011,Irvine,Masimo,10.0,2005.0
4,873.0,,Present,Present,Laguan Hills,"SonendoÂ®, Inc.",3.0,2014.0
5,873.0,,Present,Present,,American Youth Soccer Organization,,2008.0
6,873.0,,3,2016,,Community HOA,9.0,2009.0
0,874.0,,Present,2002,South San Francisco,Genentech,,1999.0
1,874.0,,Present,2005,South San Francisco,Genentech,,2002.0
2,874.0,,Present,2009,SSF,"Genentech, Inc.",,2005.0
3,874.0,,8,2014,South San Francisco,Genentech-Roche,,2009.0
4,874.0,,Present,Present,South San Francisco,Genentech,9.0,2014.0
0,875.0,,6,2016,San Francisco Bay Area,Lookout,3.0,2014.0
1,875.0,,3,2014,"RÃ©gion de la baie de San Francisco , Ãtats-Unis",Couchsurfing,1.0,2012.0
2,875.0,,2,2012,Velizy,Bouygues Telecom,9.0,2011.0
3,875.0,,6,2016,San Francisco Bay Area,Lookout,3.0,2014.0
4,875.0,,10,2016,Greater Seattle Area,Avvo,6.0,2016.0
5,875.0,,Present,Present,Greater Seattle Area,Getty Images,11.0,2016.0
6,875.0,,3,2014,"RÃ©gion de la baie de San Francisco , Ãtats-Unis",Couchsurfing,1.0,2012.0
7,875.0,,2,2012,Velizy,Bouygues Telecom,9.0,2011.0
0,876.0,,12,2006,,Precerche,9.0,2005.0
1,876.0,,Present,Present,"Austin, TX",HotSchedules,6.0,2007.0
0,878.0,,Present,Present,Greater New York City Area,Priceline.com,11.0,2015.0
1,878.0,,Present,Present,"New York, New York",Priceline.com,8.0,2015.0
2,878.0,,1,2016,"New York, NY and Providence, RI",Ghost Tour Directory,1.0,2011.0
3,878.0,,Present,Present,"Providence, RI",Providence Ghost Tour,1.0,2006.0
4,878.0,,Present,Present,"New York, New York",Priceline.com,7.0,2013.0
0,879.0,,5,2011,,Pericom Semiconductor,4.0,2009.0
1,879.0,,4,2016,Cupertino,SugarCRM,12.0,2014.0
2,879.0,,12,2014,Pleasanton,CallidusCloud,8.0,2013.0
3,879.0,,5,2009,,Network Equipment Technologies,4.0,2007.0
